OBJIDsic,Region_new,Region_unique,MainIsl,colonizer,from,to,UN_geospat
17,Antartica_Chilena,CHL_Antartica_Chilena_17,MAIN,Spain,1541,1817,South_America
19,Antofagasta_Province,CHL_Antofagasta_Province_19,MAIN,Spain,1541,1817,South_America
32,,GBR_Ascension_32,ISL,Great_Britain,1815,1833,Mid_South_Africa
40,Bangladesh,BGD_Bangladesh_40,MAIN,Portugal,1517,1651,Southern_Asia
40,Bangladesh,BGD_Bangladesh_40,MAIN,Great_Britain,1652,1795,Southern_Asia
40,Bangladesh,BGD_Bangladesh_40,MAIN,Great_Britain,1796,1947,Southern_Asia
41,,DOM_Beata_41,ISL,Spain,1493,1839,Central_America_Carib
59,,BRN_Brunei_59,ISL,Great_Britain,1888,1984,Southeast_Asia
65,,PRI_Caja_de_Muertos_65,ISL,Spain,1493,1898,Central_America_Carib
74,,PRI_Cayo_Santiago_74,ISL,Spain,1493,1898,Central_America_Carib
83,Chacabuco,CHL_Chacabuco_83,MAIN,Spain,1541,1817,South_America
91,,AUS_Cocos_Keeling_Islands_91,ISL,Netherlands,1753,1826,Southeast_Asia
91,,AUS_Cocos_Keeling_Islands_91,ISL,Great_Britain,1753,1942,Southeast_Asia
91,,AUS_Cocos_Keeling_Islands_91,ISL,Great_Britain,1942,1945,Southeast_Asia
102,,PRT_Corvo_102,ISL,Portugal,1452,1976,Europe
108,,PRI_Culebra_108,ISL,Spain,1493,1898,Central_America_Carib
114,,PRI_Desecheo_114,ISL,Spain,1493,1898,Central_America_Carib
122,,TLS_East_Timor_122,ISL,Portugal,1642,1975,Southeast_Asia
129,Equatorial_Guinea,GNQ_Equatorial_Guinea_129,MAIN,Portugal,1778,1778,Mid_South_Africa
129,Equatorial_Guinea,GNQ_Equatorial_Guinea_129,MAIN,Spain,1858,1968,Mid_South_Africa
129,Equatorial_Guinea,GNQ_Equatorial_Guinea_129,MAIN,Great_Britain,1827,1857,Mid_South_Africa
130,,ECU_Espanola_130,ISL,Great_Britain,1809,1832,South_America
132,,PRT_Faial_132,ISL,Portugal,1560,1976,Europe
138,,ECU_Fernandina_138,ISL,Great_Britain,1809,1832,South_America
145,,ECU_Floreana_145,ISL,Great_Britain,1809,1832,South_America
146,,PRT_Flores_146,ISL,Portugal,1475,1976,Europe
151,,USA_French_Frigate_Shoals_151,ISL,Spain,1521,1898,Micronesia_Polynesia
154,Gambia,GMB_Gambia_154,MAIN,Great_Britain,1852,1965,Western_Africa
158,,ECU_Genovesa_158,ISL,Great_Britain,1809,1832,South_America
160,,PRT_Graciosa_160,ISL,Portugal,1560,1976,Europe
165,Guatemala,GTM_Guatemala_165,MAIN,Spain,1524,1821,Central_America_Carib
182,,PRI_Icacos_182,ISL,Spain,1493,1898,Central_America_Carib
