"OBJIDsic","name","LON","LAT","island","area","dem.sd","temp.mean","aridity.mean","pop.dens.2010.mean","gdp.pc.2011.mean","crop.area.prop","time.emp.GB","time.emp.ESP","time.emp.PRT","time.emp.NL"
5,"Altay",82.62185148,52.61111376,0,170512.39,250.28,2.1,0.49,14.83,110783.12,0.4,0,0,0,0
17,"Antártica Chilena",-68.63069211,-55.14672075,0,9018.23,233.76,4.2,2.05,0.19,20646.82,0,0,276,0,0
26,"Armenia",44.94739357,40.28620005,0,29702.58,588.2,6.3,0.46,102.54,7219.47,0.2,0,0,0,0
32,"Ascension Island",-14.36703138,-7.94351257,1,100,140.56,20.3,0.18,6.18,34266.97,0,18,0,0,0
40,"Bangladesh",90.25983307,23.87430781,0,135921.81,59.13,25.3,1.41,1112.43,2451.79,0.64,294,0,134,0
41,"Beata, Dominican Republic",-71.51602355,17.57545838,1,42.11,18.94,26.7,0.41,4.77,11375.62,0,0,346,0,0
59,"Brunei Darussalam",114.76110082,4.52144599,1,5785.16,157.28,27,2.11,67.15,66554.86,0.03,96,0,0,0
60,"Burgenland",16.53955465,47.56021743,0,3938.23,122.63,9.6,0.67,79.75,30428.3,0.45,0,0,0,0
65,"Caja de Muertos, Puerto Rico",-66.51939812,17.89455882,1,1.71,6.02,26.6,0.42,0,34195.61,0,0,405,0,0
66,"Cambodia",104.91938515,12.71646238,0,182332.79,180.58,26.8,1,82.52,2697.36,0.22,0,0,0,0
74,"Cayo Santiago, Puerto Rico",-65.73261148,18.15664787,1,0.23,15.5,24.5,0.97,1039.61,34195.61,0.04,0,405,0,0
83,"Chacabuco",-70.78790932,-33.14019676,0,1860.17,383.39,14.2,0.24,366.62,23751.54,0.1,0,276,0,0
84,"Channel Islands",-2.29128016,49.32686006,1,213.39,31.8,11.4,0.97,741.79,34266.97,0,0,0,0,0
91,"Cocos (Keeling) Main Atoll",96.87330868,-12.16359689,1,20.73,1.78,26.7,0.93,33.32,41107.48,0,192,0,0,73
102,"Corvo",-31.10522315,39.69910452,1,17.14,150.55,17.1,0.93,9.23,26932.41,0,0,0,484,0
108,"Culebra, Puerto Rico",-65.28941795,18.31504602,1,28.66,21.45,26.2,0.55,53.04,34195.61,0,0,405,0,0
114,"Desecheo, Puerto Rico",-67.48075492,18.38377495,1,1.47,15.23,25.9,0.8,0,34195.61,0,0,405,0,0
122,"East Timor",125.88373605,-8.83192901,1,15527.29,414.27,24.1,0.98,68.66,1978.84,0.29,0,0,333,0
124,"Easter Island, Chile",-109.35649361,-27.12050733,1,168.79,102.87,20.4,0.86,28.7,20266.04,0,0,0,0,0
