"OBJIDsic","Region_new","Region_unique","island","UN_geospat"
5,"Altai_Krai","RUS_Altai_Krai_5","MAIN","Eastern_Europe"
17,"Antartica_Chilena","CHL_Antartica_Chilena_17","MAIN","South_America"
19,"Antofagasta_Province","CHL_Antofagasta_Province_19","MAIN","South_America"
26,"Armenia","ARM_Armenia_26","MAIN","Western_Asia"
32,"","GBR_Ascension_32","ISL","Mid_South_Africa"
40,"Bangladesh","BGD_Bangladesh_40","MAIN","Southern_Asia"
41,"","DOM_Beata_41","ISL","Central_America_Carib"
59,"","BRN_Brunei_59","ISL","Southeast_Asia"
60,"Burgenland","AUT_Burgenland_60","MAIN","Europe"
65,"","PRI_Caja_de_Muertos_65","ISL","Central_America_Carib"
66,"Cambodia","KHM_Cambodia_66","MAIN","Southeast_Asia"
74,"","PRI_Cayo_Santiago_74","ISL","Central_America_Carib"
83,"Chacabuco","CHL_Chacabuco_83","MAIN","South_America"
84,"","GBR_Channel_Islands_84","ISL","Europe"
91,"","AUS_Cocos_Keeling_Islands_91","ISL","Southeast_Asia"
102,"","PRT_Corvo_102","ISL","Europe"
108,"","PRI_Culebra_108","ISL","Central_America_Carib"
114,"","PRI_Desecheo_114","ISL","Central_America_Carib"
122,"","TLS_East_Timor_122","ISL","Southeast_Asia"
124,"","CHL_Easter_Island_Rapa_Nui_124","ISL","South_America"
129,"Equatorial_Guinea","GNQ_Equatorial_Guinea_129","MAIN","Mid_South_Africa"
130,"","ECU_Espanola_130","ISL","South_America"
132,"","PRT_Faial_132","ISL","Europe"
138,"","ECU_Fernandina_138","ISL","South_America"
145,"","ECU_Floreana_145","ISL","South_America"
146,"","PRT_Flores_146","ISL","Europe"
151,"","USA_French_Frigate_Shoals_151","ISL","Micronesia_Polynesia"
154,"Gambia","GMB_Gambia_154","MAIN","Western_Africa"
158,"","ECU_Genovesa_158","ISL","South_America"
160,"","PRT_Graciosa_160","ISL","Europe"
162,"","GBR_Great_Britain_162","ISL","Europe"
165,"Guatemala","GTM_Guatemala_165","MAIN","Central_America_Carib"
171,"","USA_Hawaii_Island_171","ISL","Micronesia_Polynesia"
182,"","PRI_Icacos_182","ISL","Central_America_Carib"
192,"","IDN_Kalimantan_192","ISL","Southeast_Asia"
193,"","IDN_Maluku_193","ISL","Southeast_Asia"
194,"","IDN_Nusa_Tenggara_194","ISL","Southeast_Asia"
195,"","IDN_Papua_195","ISL","Oceania"
196,"","IDN_Sulawesi_196","ISL","Southeast_Asia"
197,"","IDN_Sumatra_197","ISL","Southeast_Asia"
198,"Iran","IRN_Iran_198","MAIN","Western_Asia"
199,"Iraq","IRQ_Iraq_199","MAIN","Western_Asia"
202,"","ECU_Isabela_202","ISL","South_America"
209,"Jordan","JOR_Jordan_209","MAIN","Western_Asia"
213,"","USA_Kaula_213","ISL","Micronesia_Polynesia"
214,"","USA_Kahoolawe_214","ISL","Micronesia_Polynesia"
220,"Carinthia","AUT_Carinthia_220","MAIN","Europe"
222,"","USA_Kauai_222","ISL","Micronesia_Polynesia"
227,"","NZL_Kermadec_Island_227","ISL","Micronesia_Polynesia"
231,"Krasnodar","RUS_Krasnodar_231","MAIN","Eastern_Europe"
232,"","USA_Kure_232","ISL","Micronesia_Polynesia"
243,"","FRA_La_Reunion_243","ISL","East_Africa"
247,"","USA_Lanai_247","ISL","Micronesia_Polynesia"
249,"","USA_Laysan_249","ISL","Micronesia_Polynesia"
251,"","USA_Lehua_251","ISL","Micronesia_Polynesia"
258,"","USA_Lisianski_258","ISL","Micronesia_Polynesia"
264,"Magadan_Region","RUS_Magadan_Region_264","MAIN","Eastern_Europe"
267,"","PRI_Magueyes_267","ISL","Central_America_Carib"
277,"","USA_Mauii_277","ISL","Micronesia_Polynesia"
284,"Mexico_State","MEX_Mexico_State_284","MAIN","Central_America_Carib"
286,"","USA_Midway_286","ISL","Micronesia_Polynesia"
288,"","USA_Molokai_288","ISL","Micronesia_Polynesia"
289,"","PRI_Mona_289","ISL","Central_America_Carib"
290,"Mongolia","MNG_Mongolia_290","MAIN","East_Asia"
291,"","PRI_Monito_291","ISL","Central_America_Carib"
294,"Montenegro","MNE_Montenegro_294","MAIN","Europe"
300,"Murmansk_Area","RUS_Murmansk_Area_300","MAIN","Eastern_Europe"
301,"Myanmar","MMR_Myanmar_301","MAIN","Southeast_Asia"
307,"","USA_Niihau_307","ISL","Micronesia_Polynesia"
308,"Lower_Austria","AUT_Lower_Austria_308","MAIN","Europe"
309,"","USA_Nihoa_309","ISL","Micronesia_Polynesia"
320,"Central_Western_Slopes","AUS_Central_Western_Slopes_320","MAIN","Oceania"
321,"","USA_Oahu_321","ISL","Micronesia_Polynesia"
323,"Upper_Austria","AUT_Upper_Austria_323","MAIN","Europe"
329,"Oman","OMN_Oman_329","MAIN","Western_Asia"
349,"Pakistan","PAK_Pakistan_349","MAIN","Southern_Asia"
353,"","PNG_Papua_New_Guinea_353","ISL","Oceania"
354,"Paraguay","PRY_Paraguay_354","MAIN","South_America"
356,"","USA_Pearl_and_Hermes_356","ISL","Micronesia_Polynesia"
359,"","PRT_Pico_359","ISL","Europe"
361,"","ECU_Pinta_361","ISL","South_America"
362,"","ECU_Pinzon_362","ISL","South_America"
373,"","MUS_Rodrigues_373","ISL","East_Africa"
382,"Salzburg","AUT_Salzburg_382","MAIN","Europe"
384,"","WSM_Samoa_384","ISL","Micronesia_Polynesia"
386,"","ECU_San_Cristobal_386","ISL","South_America"
396,"","ECU_Santa_Cruz_396","ISL","South_America"
397,"","ECU_Santa_Fe_397","ISL","South_America"
399,"","PRT_Santa_Maria_399","ISL","Europe"
403,"","ECU_Santiago_403","ISL","South_America"
405,"","PRT_Sao_Jorge_405","ISL","Europe"
406,"","PRT_Sao_Miguel_406","ISL","Europe"
412,"Serbia","SRB_Serbia_412","MAIN","Europe"
419,"","SLB_Solomon_Islands_419","ISL","Oceania"
431,"","USA_St_Croix_431","ISL","Central_America_Carib"
432,"","GBR_St_Helena_432","ISL","Mid_South_Africa"
433,"","USA_St_John_433","ISL","Central_America_Carib"
435,"","USA_St_Thomas_435","ISL","Central_America_Carib"
436,"Styria","AUT_Styria_436","MAIN","Europe"
453,"","PRT_Terceira_453","ISL","Europe"
457,"Tyrol","AUT_Tyrol_457","MAIN","Europe"
463,"Turkey","TUR_Turkey_463","MAIN","Western_Asia"
469,"","TUV_Tuvalu_469","ISL","Micronesia_Polynesia"
471,"United_Arab_Emirates","ARE_United_Arab_Emirates_471","MAIN","Western_Asia"
481,"","VUT_Vanuatu_481","ISL","Oceania"
484,"Victoria","AUS_Victoria_484","MAIN","Oceania"
485,"","USA_Vieques_485","ISL","Central_America_Carib"
486,"Vietnam","VNM_Vietnam_486","MAIN","Southeast_Asia"
490,"Vorarlberg","AUT_Vorarlberg_490","MAIN","Europe"
497,"Western_Sahara","ESH_Western_Sahara_497","MAIN","North_Africa"
499,"Vienna","AUT_Vienna_499","MAIN","Europe"
506,"Belize","BLZ_Belize_506","MAIN","Central_America_Carib"
508,"","ABW_Aruba_508","ISL","South_America"
509,"Angola","AGO_Angola_509","MAIN","Mid_South_Africa"
510,"","GBR_Anguilla_510","ISL","Central_America_Carib"
511,"Albania","ALB_Albania_511","MAIN","Europe"
512,"Buenos_Aires_Area","ARG_Buenos_Aires_Area_512","MAIN","South_America"
513,"Catamarca","ARG_Catamarca_513","MAIN","South_America"
514,"Chaco","ARG_Chaco_514","MAIN","South_America"
515,"Chubut","ARG_Chubut_515","MAIN","South_America"
516,"Cordoba","ARG_Cordoba_516","MAIN","South_America"
517,"Corrientes","ARG_Corrientes_517","MAIN","South_America"
518,"Buenos_Aires_City","ARG_Buenos_Aires_City_518","MAIN","South_America"
519,"Entre_Rios","ARG_Entre_Rios_519","MAIN","South_America"
520,"Formosa","ARG_Formosa_520","MAIN","South_America"
521,"Jujuy","ARG_Jujuy_521","MAIN","South_America"
522,"La_Pampa","ARG_La_Pampa_522","MAIN","South_America"
523,"La_Rioja","ARG_La_Rioja_523","MAIN","South_America"
524,"Mendoza","ARG_Mendoza_524","MAIN","South_America"
525,"Misiones","ARG_Misiones_525","MAIN","South_America"
526,"Neuquen","ARG_Neuquen_526","MAIN","South_America"
527,"Rio_Negro","ARG_Rio_Negro_527","MAIN","South_America"
528,"Salta","ARG_Salta_528","MAIN","South_America"
529,"Santa_Cruz","ARG_Santa_Cruz_529","MAIN","South_America"
530,"Santiago_del_Estero","ARG_Santiago_del_Estero_530","MAIN","South_America"
531,"Santa_Fe","ARG_Santa_Fe_531","MAIN","South_America"
532,"San_Juan","ARG_San_Juan_532","MAIN","South_America"
533,"San_Luis","ARG_San_Luis_533","MAIN","South_America"
534,"","ARG_Tierra_del_Fuego_ARG_534","ISL","South_America"
535,"Tucuman","ARG_Tucuman_535","MAIN","South_America"
536,"","USA_Aunuu_536","ISL","Micronesia_Polynesia"
537,"","USA_Ofu_537","ISL","Micronesia_Polynesia"
538,"","USA_Olosega_538","ISL","Micronesia_Polynesia"
539,"","USA_Swains_539","ISL","Micronesia_Polynesia"
540,"","USA_Tau_540","ISL","Micronesia_Polynesia"
541,"","USA_Tutuila_541","ISL","Micronesia_Polynesia"
543,"","GBR_Antigua_543","ISL","Central_America_Carib"
544,"","GBR_Barbuda_544","ISL","Central_America_Carib"
545,"","AUS_Alexander_Island_545","ISL","Oceania"
546,"","AUS_Ashmore_Reef_546","ISL","Southeast_Asia"
547,"","AUS_Beacon_Island_547","ISL","Oceania"
548,"","AUS_Coral_Sea_Islands_Territory_548","ISL","Oceania"
549,"","AUS_East_Wallabi_Island_549","ISL","Oceania"
550,"","AUS_Gilbert_Island_550","ISL","Oceania"
551,"","AUS_Gun_Island_551","ISL","Oceania"
552,"","AUS_Helms_Island_552","ISL","Oceania"
553,"","AUS_Hummock_Island_553","ISL","Oceania"
554,"","AUS_Leo_Island_554","ISL","Oceania"
555,"","AUS_Long_Island_Houtman_Abrolhos_555","ISL","Oceania"
556,"","AUS_Little_Rat_Island_556","ISL","Oceania"
557,"","AUS_Morley_Island_557","ISL","Oceania"
558,"","AUS_Middle_Island_558","ISL","Oceania"
559,"","AUS_Murray_Island_559","ISL","Oceania"
560,"","AUS_Newman_Island_560","ISL","Oceania"
561,"","AUS_North_Island_Houtman_Abrolhos_561","ISL","Oceania"
562,"Central_Coast","AUS_Central_Coast_562","MAIN","Oceania"
563,"Central_Tablelands","AUS_Central_Tablelands_563","MAIN","Oceania"
564,"","AUS_Lord_Howe_Island_564","ISL","Oceania"
565,"North_Coast","AUS_North_Coast_565","MAIN","Oceania"
566,"North_Far_Western_Plains","AUS_North_Far_Western_Plains_566","MAIN","Oceania"
567,"Northern_Tablelands","AUS_Northern_Tablelands_567","MAIN","Oceania"
568,"North_Western_Plains","AUS_North_Western_Plains_568","MAIN","Oceania"
569,"North_Western_Slopes","AUS_North_Western_Slopes_569","MAIN","Oceania"
570,"South_Coast","AUS_South_Coast_570","MAIN","Oceania"
571,"South_Far_Western_Plains","AUS_South_Far_Western_Plains_571","MAIN","Oceania"
572,"Southern_Tablelands","AUS_Southern_Tablelands_572","MAIN","Oceania"
573,"South_Western_Plains","AUS_South_Western_Plains_573","MAIN","Oceania"
574,"South_Western_Slopes","AUS_South_Western_Slopes_574","MAIN","Oceania"
575,"Northern_Territory","AUS_Northern_Territory_575","MAIN","Oceania"
576,"","AUS_Pelsaert_Island_576","ISL","Oceania"
577,"","AUS_Pigeon_Island_577","ISL","Oceania"
578,"Burke","AUS_Burke_578","MAIN","Oceania"
579,"Burnett","AUS_Burnett_579","MAIN","Oceania"
580,"Cook","AUS_Cook_580","MAIN","Oceania"
581,"Darling_Downs","AUS_Darling_Downs_581","MAIN","Oceania"
582,"Gregory_North","AUS_Gregory_North_582","MAIN","Oceania"
583,"Gregory_South","AUS_Gregory_South_583","MAIN","Oceania"
584,"Leichhardt","AUS_Leichhardt_584","MAIN","Oceania"
585,"Maranoa","AUS_Maranoa_585","MAIN","Oceania"
586,"Mitchell","AUS_Mitchell_586","MAIN","Oceania"
587,"Moreton","AUS_Moreton_587","MAIN","Oceania"
588,"Kennedy_North","AUS_Kennedy_North_588","MAIN","Oceania"
